"№","Песня","Артист","Альбом"
"1","Somewhere I Belong","Linkin Park","Meteora (Bonus Edition)"
"2","Crawling","Linkin Park","Hybrid Theory (Bonus Edition)"
"3","Up From the Bottom","Linkin Park","From Zero"
"4","New Divide","Linkin Park","Papercuts"
"5","The Emptiness Machine","Linkin Park","From Zero"
"6","The Catalyst","Linkin Park","A Thousand Suns"
"7","Burn It Down","Linkin Park","LIVING THINGS"
"8","Cut the Bridge","Linkin Park","From Zero"
"9","Where’d You Go (feat. Holly Brook, Jonah Matranga)","Fort Minor","The Rising Tied"
"10","Waiting for the End","Linkin Park","A Thousand Suns"
"11","From the Inside","Linkin Park","Meteora (Bonus Edition)"
"12","Two Faced","Linkin Park","From Zero"
"13","Remember the Name (feat. Styles of Beyond)","Fort Minor","The Rising Tied"
"14","Given Up","Linkin Park","Minutes to Midnight"
"15","One Step Closer","Linkin Park","Hybrid Theory (Bonus Edition)"
"16","Lost","Linkin Park","From Zero"
"17","Over Each Other","Linkin Park","From Zero"
"18","What I’ve Done","Linkin Park","Minutes to Midnight"
"19","Overflow","Linkin Park","From Zero"
"20","Numb / Encore","Jay‑Z, Linkin Park","Collision Course"
"21","Stained","Linkin Park","From Zero"
"22","In the End","Linkin Park","Hybrid Theory (Bonus Edition)"
"23","Faint","Linkin Park","Meteora (Bonus Edition)"
"24","Papercut","Linkin Park","Hybrid Theory (Bonus Edition)"
"25","Heavy Is the Crown","Linkin Park","Minutes to Midnight"
"26","Bleed It Out","Linkin Park","Minutes to Midnight"